condition,model,decoding,question,q_idx,BLEU,ROUGE-1,ROUGE-L,response,token_length,avg_token_len,Self-BLEU,Distinct-1,Distinct-2,RM_Reward
Base   + Default,BASE,Default,불고기용 고기 한우에요?,1,0.0,0.0,0.0,#####################################################################################################################################################,150,150.0,0.1778,0.2,0.0,-2.3725
Base   + Default,BASE,Default,리처드 닉슨이 43대 부통령직을 수행한 년도는?,2,0.0,0.0,0.0,#####################################################################################################################################################,150,150.0,0.1778,0.2,0.0,-2.3725
Base   + Default,BASE,Default,시카고 오헤어 국제공항은 어디에 있어?,3,0.0,0.0,0.0,#####################################################################################################################################################,150,150.0,0.1778,0.2,0.0,-2.3725
Base   + Default,BASE,Default,오늘 미세먼지 어때?,4,0.0,0.0,0.0,#####################################################################################################################################################,150,150.0,0.1778,0.2,0.0,-2.3725
Base   + Default,BASE,Default,과제를 빠르고도 정확하게 끝내는 방법이 뭐야?,5,0.0,0.0,0.0,#####################################################################################################################################################,150,150.0,0.1778,0.2,0.0,-2.3725
Base   + Tuned,BASE,Tuned,불고기용 고기 한우에요?,1,0.0,0.0,0.0,"#food #delicious #selfie #foodstagram #instafood #20180413 #미롱_식단 
점심 : 닭가슴살샐러드
#diet #dieter #다이어트그램 #오늘의식단 #식단일기
#다이어트레시피 #직장인다
이어터 #식이조절 #건강식 #클린식단
#저칼로리 #다신샵 #다욧 #유지어터
#다히먹방 #다노샵 #간식스타그램",143,144.6,0.1496,0.7483,0.8944,-2.4767
Base   + Tuned,BASE,Tuned,리처드 닉슨이 43대 부통령직을 수행한 년도는?,2,0.0,0.0,0.0,"## # #
## (응답: #)
## (답변: # #20180417 #미롱_식단 
점심 : #닭가슴살샐러드
#diet #dieter #eatclean #다이어트그램 #오늘의식단 #식단일기
#다이어트레시피 #직장인다
이어터 #식이조절 #건강식단 으로 #클린식단
#저염식 #고단백 저칼로리식단
공복시간 #운동 #유산소운동 #유지어터",143,144.6,0.1496,0.7483,0.8944,-2.2199
Base   + Tuned,BASE,Tuned,시카고 오헤어 국제공항은 어디에 있어?,3,0.0,0.0,0.0,"##selfie #selcafe #daily #instagood #f4f #l4l #follow #like4like #lfl #먹스타그램 #먹방 #먹부림 #먹짤 #위꼴 #데일리 #일상 #소통 #팔로우 #좋아요
#인친 #맞팔 #선팔 #일상스타그램 #광주 #동명동 #카페 #빵집 #빵순이 #빵투어 #빵지순례 #빵",147,144.6,0.1496,0.7483,0.8944,-2.5341
Base   + Tuned,BASE,Tuned,오늘 미세먼지 어때?,4,0.0,0.0,0.0,"#selfie #daily #instagood #f4f #l4l #lfl #follow #like4like #소통 #좋아요
#선팔 #맞팔 #선팔환영 #일상 #데일리 #인친 #소통해요
#인스타그램 #인스타친구 #셀피 #셀카 #얼스타그램  #20180712 #미롱_식단 
점심 : #다이어트식단
간식 : #닭가슴살",141,144.6,0.1496,0.7483,0.8944,-2.4999
Base   + Tuned,BASE,Tuned,과제를 빠르고도 정확하게 끝내는 방법이 뭐야?,5,0.0,0.0,0.0,#Responsibility #Reading #Relationship #Remember #Records #Retail #Report #Restaurant #Reduce #Regranning #Specialist #Support #Technologies #Research #Speech #Seoul #Newspaper #Smart #Samsung #Simplified #Studio #Seministration #Text #Sensory,149,144.6,0.1496,0.7483,0.8944,-2.499
SFT    + Default,SFT,Default,불고기용 고기 한우에요?,1,1.0,0.0,0.0,저는 인공지능 챗봇이므로 불고기용 고기의 종류를 알지 못합니다. 하지만 일반적으로 불고기용 고기는 쇠고기의 원산지와 유통기한 등을 고려하여 선택됩니다. 따라서 해당 고기의 원산지와 유통기한을 확인하시고 구매하시는 것이 좋습니다.,54,61.0,0.0168,0.6111,0.7325,-1.4585
SFT    + Default,SFT,Default,리처드 닉슨이 43대 부통령직을 수행한 년도는?,2,1.0,1.0,1.0,리처드 닉슨은 41대 부통령직을 수행한 년도는 알려지지 않았습니다.,13,61.0,0.0168,0.6111,0.7325,-1.9357
SFT    + Default,SFT,Default,시카고 오헤어 국제공항은 어디에 있어?,3,1.0,0.0,0.0,시카고 오헤어 국제공항은 미국 텍사스주 휴스턴에 위치해 있습니다.,13,61.0,0.0168,0.6111,0.7325,-1.8634
SFT    + Default,SFT,Default,오늘 미세먼지 어때?,4,1.0,0.0,0.0,"저는 인공지능 챗봇이므로 미세먼지 문제에 대한 정보를 가지고 있지 않습니다. 하지만 미세먼지 문제는 매우 심각한 문제 중 하나입니다. 미세먼지는 우리 몸의 면역력과 세포 기능을 저하시키고 심혈관 질환, 호흡기 질환, 알레르기 질환 등 다양한 질병을 유발할 수 있습니다. 따라서 미세먼지 문제를 해결하기 위해서는 건강한 생활습관과 건강한 생활습관을 유지하는 것이 중요합니다.",76,61.0,0.0168,0.6111,0.7325,-1.2862
SFT    + Default,SFT,Default,과제를 빠르고도 정확하게 끝내는 방법이 뭐야?,5,1.0,1.0,1.0,과제를 빠르고 정확하게 끝내는 방법은 다음과 같습니다.\n\n1. 과제 목표 설정: 과제 목표를 설정하면 과제 수행이 완료됩니다.\n\n2. 과제 목표 설정: 과제 수행이 완료되면 과제 수행이 완료됩니다.\n\n3. 과제 목표 설정: 과제 수행이 완료되면 과제 수행이 완료됩니다.\n\n4. 과제 목표 설정: 과제 수행이 완료되면 과제 수행이 완료됩니다.\n\n5. 과제 목표 설정: 과제 수행이 완료되면 과제 수행이 완료됩니다.\n\n6. 과제 목표 설정: 과제 수행이 완료되면 과제 수행이 완료됩니다.\n\n7. 과제 목표 설정: 과제 수행이 완료되면 과제 수행이 완료됩니다.,149,61.0,0.0168,0.6111,0.7325,-1.0041
SFT    + Tuned,SFT,Tuned,불고기용 고기 한우에요?,1,0.1004,0.0,0.0,"저는 인공지능 어시스턴트이기 때문에 고기를 먹을 수 없습니다. 하지만 일반적으로 불고기용 고기는 쇠고기, 돼지고기, 소고기, 돼지고기 등 다양한 부위를 사용합니다.",37,46.4,0.088,0.7153,0.8636,-1.5631
SFT    + Tuned,SFT,Tuned,리처드 닉슨이 43대 부통령직을 수행한 년도는?,2,0.385,1.0,1.0,리처드 닉슨은 41대 부통령직을 수행하지 않았습니다.,11,46.4,0.088,0.7153,0.8636,-1.9157
SFT    + Tuned,SFT,Tuned,시카고 오헤어 국제공항은 어디에 있어?,3,0.0305,0.0,0.0,저는 인공지능 어시스턴트이기 때문에 시카고 오헤어 공항에 대한 정보를 가지고 있지 않습니다. 하지만 일반적으로 시카고는 미국 캘리포니아주 로스앤젤레스에 위치해 있습니다.,34,46.4,0.088,0.7153,0.8636,-1.5692
SFT    + Tuned,SFT,Tuned,오늘 미세먼지 어때?,4,0.011,0.0,0.0,저는 인공지능 어시스턴트이기 때문에 미세먼지 여부를 판단할 수 없습니다. 하지만 보통 미세먼지는 대기오염의 주범으로 알려져 있기 때문에 외출 시 마스크를 착용하고 미세먼지 농도를 확인하시는 것이 좋습니다. 또한 미세먼지 농도가 높은 날에는 실외활동을 자제하는 것이 좋습니다.,65,46.4,0.088,0.7153,0.8636,-1.3337
SFT    + Tuned,SFT,Tuned,과제를 빠르고도 정확하게 끝내는 방법이 뭐야?,5,0.0769,0.5263,0.5263,과제를 빠르고 정확하게 끝내는 방법은 다음과 같습니다:\n\n1. 목표 설정하기: 과제에 대한 정확한 목표를 설정하고 이를 달성하기 위해 필요한 정보를 수집합니다.\n2. 과제 수행 계획 세우기: 과제 수행 계획을 세우고 이를 실행합니다.\n3. 과제 수행 보고서 작성하기: 과제 수행 보고서를 작성하고 이를 바탕으로 과제를 수행합니다.\n4. 과제 수행 결과 보고서 작성: 과제 수행 결과 보고서를 작성하고 이를 토대로 과제를 수행합니다.,85,46.4,0.088,0.7153,0.8636,-1.245
PPO    + Default,PPO,Default,불고기용 고기 한우에요?,1,0.0818,0.0,0.0,"저는 인공지능 챗봇이므로 고기를 먹을 수 없습니다. 하지만 일반적으로 불고기용 고기는 한우보다 가격이 저렴하기 때문에 구매하시는 분들은 한우보다 저렴한 가격으로 구매하실 수 있습니다. 또한, 한우보다 더 많은 양의 고기를 구매할 수 있는 경우도 있으니 구매하시는 분들은 한우보다 저렴한 가격으로 구매하실 수 있습니다.",68,77.6,0.0105,0.5411,0.6681,-1.39
